tumour_id,segment,clone,pred_CN_A,pred_CN_B
LTX0001-Tumour1,1_93296900_93298090,clone1,1,1
LTX0001-Tumour1,10_99002900_120791090,clone1,1,1
LTX0001-Tumour1,11_14527900_75112090,clone1,1,1
LTX0001-Tumour1,12_25397900_25399090,clone1,1,1
LTX0001-Tumour1,17_7388900_7578090,clone1,1,1
LTX0001-Tumour1,18_19194900_19196090,clone1,1,1
LTX0001-Tumour1,2_198364900_198366090,clone1,1,1
LTX0001-Tumour1,7_55085900_55087090,clone1,1,1
LTX0001-Tumour1,8_128747900_128749090,clone1,1,1
LTX0001-Tumour1,9_139035900_139037090,clone1,1,1
LTX0001-Tumour1,1_93296900_93298090,clone2,1,1
LTX0001-Tumour1,10_99002900_120791090,clone2,1,1
LTX0001-Tumour1,11_14527900_75112090,clone2,1,1
LTX0001-Tumour1,12_25397900_25399090,clone2,1,1
LTX0001-Tumour1,17_7388900_7578090,clone2,1,1
LTX0001-Tumour1,18_19194900_19196090,clone2,1,1
LTX0001-Tumour1,2_198364900_198366090,clone2,1,1
LTX0001-Tumour1,7_55085900_55087090,clone2,1,1
LTX0001-Tumour1,8_128747900_128749090,clone2,1,1
LTX0001-Tumour1,9_139035900_139037090,clone2,1,1
LTX0001-Tumour1,1_93296900_93298090,clone3,1,1
LTX0001-Tumour1,10_99002900_120791090,clone3,1,1
LTX0001-Tumour1,11_14527900_75112090,clone3,1,1
LTX0001-Tumour1,12_25397900_25399090,clone3,1,1
LTX0001-Tumour1,17_7388900_7578090,clone3,1,1
LTX0001-Tumour1,18_19194900_19196090,clone3,1,1
LTX0001-Tumour1,2_198364900_198366090,clone3,1,1
LTX0001-Tumour1,7_55085900_55087090,clone3,1,1
LTX0001-Tumour1,8_128747900_128749090,clone3,1,1
LTX0001-Tumour1,9_139035900_139037090,clone3,1,1
LTX0002-Tumour1,1_93296900_93298090,clone1,2,2
LTX0002-Tumour1,10_99002900_120791090,clone1,2,2
LTX0002-Tumour1,11_14527900_75112090,clone1,2,2
LTX0002-Tumour1,12_25397900_25399090,clone1,2,2
LTX0002-Tumour1,17_7388900_7578090,clone1,2,2
LTX0002-Tumour1,18_19194900_19196090,clone1,2,2
LTX0002-Tumour1,2_198364900_198366090,clone1,2,2
LTX0002-Tumour1,7_55085900_55087090,clone1,2,2
LTX0002-Tumour1,8_128747900_128749090,clone1,2,2
LTX0002-Tumour1,9_139035900_139037090,clone1,2,2
LTX0002-Tumour1,1_93296900_93298090,clone2,2,2
LTX0002-Tumour1,10_99002900_120791090,clone2,4,0
LTX0002-Tumour1,11_14527900_75112090,clone2,2,2
LTX0002-Tumour1,12_25397900_25399090,clone2,2,2
LTX0002-Tumour1,17_7388900_7578090,clone2,2,2
LTX0002-Tumour1,18_19194900_19196090,clone2,2,2
LTX0002-Tumour1,2_198364900_198366090,clone2,2,2
LTX0002-Tumour1,7_55085900_55087090,clone2,2,2
LTX0002-Tumour1,8_128747900_128749090,clone2,2,2
LTX0002-Tumour1,9_139035900_139037090,clone2,2,2
LTX0002-Tumour1,1_93296900_93298090,clone3,2,2
LTX0002-Tumour1,10_99002900_120791090,clone3,2,2
LTX0002-Tumour1,11_14527900_75112090,clone3,2,2
LTX0002-Tumour1,12_25397900_25399090,clone3,2,2
LTX0002-Tumour1,17_7388900_7578090,clone3,2,2
LTX0002-Tumour1,18_19194900_19196090,clone3,2,2
LTX0002-Tumour1,2_198364900_198366090,clone3,2,2
LTX0002-Tumour1,7_55085900_55087090,clone3,2,2
LTX0002-Tumour1,8_128747900_128749090,clone3,2,2
LTX0002-Tumour1,9_139035900_139037090,clone3,2,2
LTX0002-Tumour1,1_93296900_93298090,clone4,2,2
LTX0002-Tumour1,10_99002900_120791090,clone4,2,2
LTX0002-Tumour1,11_14527900_75112090,clone4,2,2
LTX0002-Tumour1,12_25397900_25399090,clone4,2,2
LTX0002-Tumour1,17_7388900_7578090,clone4,2,2
LTX0002-Tumour1,18_19194900_19196090,clone4,2,2
LTX0002-Tumour1,2_198364900_198366090,clone4,2,2
LTX0002-Tumour1,7_55085900_55087090,clone4,2,2
LTX0002-Tumour1,8_128747900_128749090,clone4,2,2
LTX0002-Tumour1,9_139035900_139037090,clone4,2,2
LTX0003-Tumour1,1_93296900_93298090,clone1,2,2
LTX0003-Tumour1,10_99002900_120791090,clone1,2,2
LTX0003-Tumour1,11_14527900_75112090,clone1,2,2
LTX0003-Tumour1,12_25397900_25399090,clone1,2,2
LTX0003-Tumour1,17_7388900_7578090,clone1,2,2
LTX0003-Tumour1,18_19194900_19196090,clone1,2,2
LTX0003-Tumour1,2_198364900_198366090,clone1,2,2
LTX0003-Tumour1,7_55085900_55087090,clone1,2,2
LTX0003-Tumour1,8_128747900_128749090,clone1,2,2
LTX0003-Tumour1,9_139035900_139037090,clone1,2,2
LTX0003-Tumour1,1_93296900_93298090,clone2,2,2
LTX0003-Tumour1,10_99002900_120791090,clone2,2,2
LTX0003-Tumour1,11_14527900_75112090,clone2,2,2
LTX0003-Tumour1,12_25397900_25399090,clone2,2,2
LTX0003-Tumour1,17_7388900_7578090,clone2,2,2
LTX0003-Tumour1,18_19194900_19196090,clone2,2,2
LTX0003-Tumour1,2_198364900_198366090,clone2,2,2
LTX0003-Tumour1,7_55085900_55087090,clone2,2,2
LTX0003-Tumour1,8_128747900_128749090,clone2,2,2
LTX0003-Tumour1,9_139035900_139037090,clone2,2,2
LTX0003-Tumour1,1_93296900_93298090,clone3,2,2
LTX0003-Tumour1,10_99002900_120791090,clone3,2,2
LTX0003-Tumour1,11_14527900_75112090,clone3,2,2
LTX0003-Tumour1,12_25397900_25399090,clone3,2,2
LTX0003-Tumour1,17_7388900_7578090,clone3,2,2
LTX0003-Tumour1,18_19194900_19196090,clone3,2,2
LTX0003-Tumour1,2_198364900_198366090,clone3,2,2
LTX0003-Tumour1,7_55085900_55087090,clone3,2,2
LTX0003-Tumour1,8_128747900_128749090,clone3,2,2
LTX0003-Tumour1,9_139035900_139037090,clone3,2,2
LTX0004-Tumour1,1_93296900_93298090,clone1,1,1
LTX0004-Tumour1,10_99002900_120791090,clone1,1,1
LTX0004-Tumour1,11_14527900_75112090,clone1,1,1
LTX0004-Tumour1,12_25397900_25399090,clone1,1,1
LTX0004-Tumour1,17_7388900_7578090,clone1,1,1
LTX0004-Tumour1,18_19194900_19196090,clone1,1,1
LTX0004-Tumour1,2_198364900_198366090,clone1,1,1
LTX0004-Tumour1,7_55085900_55087090,clone1,1,1
LTX0004-Tumour1,8_128747900_128749090,clone1,1,1
LTX0004-Tumour1,9_139035900_139037090,clone1,1,1
LTX0004-Tumour1,1_93296900_93298090,clone2,1,1
LTX0004-Tumour1,10_99002900_120791090,clone2,1,1
LTX0004-Tumour1,11_14527900_75112090,clone2,1,1
LTX0004-Tumour1,12_25397900_25399090,clone2,1,1
LTX0004-Tumour1,17_7388900_7578090,clone2,2,0
LTX0004-Tumour1,18_19194900_19196090,clone2,1,1
LTX0004-Tumour1,2_198364900_198366090,clone2,1,1
LTX0004-Tumour1,7_55085900_55087090,clone2,1,1
LTX0004-Tumour1,8_128747900_128749090,clone2,1,1
LTX0004-Tumour1,9_139035900_139037090,clone2,1,1
LTX0004-Tumour1,1_93296900_93298090,clone3,1,1
LTX0004-Tumour1,10_99002900_120791090,clone3,1,1
LTX0004-Tumour1,11_14527900_75112090,clone3,1,1
LTX0004-Tumour1,12_25397900_25399090,clone3,1,1
LTX0004-Tumour1,17_7388900_7578090,clone3,1,1
LTX0004-Tumour1,18_19194900_19196090,clone3,1,1
LTX0004-Tumour1,2_198364900_198366090,clone3,1,1
LTX0004-Tumour1,7_55085900_55087090,clone3,1,1
LTX0004-Tumour1,8_128747900_128749090,clone3,1,1
LTX0004-Tumour1,9_139035900_139037090,clone3,1,1
LTX0004-Tumour1,1_93296900_93298090,clone4,2,2
LTX0004-Tumour1,10_99002900_120791090,clone4,2,2
LTX0004-Tumour1,11_14527900_75112090,clone4,2,2
LTX0004-Tumour1,12_25397900_25399090,clone4,2,2
LTX0004-Tumour1,17_7388900_7578090,clone4,4,0
LTX0004-Tumour1,18_19194900_19196090,clone4,2,2
LTX0004-Tumour1,2_198364900_198366090,clone4,2,2
LTX0004-Tumour1,7_55085900_55087090,clone4,2,2
LTX0004-Tumour1,8_128747900_128749090,clone4,2,2
LTX0004-Tumour1,9_139035900_139037090,clone4,2,2
LTX0004-Tumour1,1_93296900_93298090,clone5,1,1
LTX0004-Tumour1,10_99002900_120791090,clone5,1,1
LTX0004-Tumour1,11_14527900_75112090,clone5,1,1
LTX0004-Tumour1,12_25397900_25399090,clone5,1,1
LTX0004-Tumour1,17_7388900_7578090,clone5,1,1
LTX0004-Tumour1,18_19194900_19196090,clone5,1,1
LTX0004-Tumour1,2_198364900_198366090,clone5,1,1
LTX0004-Tumour1,7_55085900_55087090,clone5,1,1
LTX0004-Tumour1,8_128747900_128749090,clone5,1,1
LTX0004-Tumour1,9_139035900_139037090,clone5,1,1
LTX0005-Tumour1,1_93296900_93298090,clone1,1,1
LTX0005-Tumour1,10_99002900_120791090,clone1,1,1
LTX0005-Tumour1,11_14527900_75112090,clone1,1,1
LTX0005-Tumour1,12_25397900_25399090,clone1,1,1
LTX0005-Tumour1,17_7388900_7578090,clone1,1,1
LTX0005-Tumour1,18_19194900_19196090,clone1,1,1
LTX0005-Tumour1,2_198364900_198366090,clone1,1,1
LTX0005-Tumour1,7_55085900_55087090,clone1,1,1
LTX0005-Tumour1,8_128747900_128749090,clone1,1,1
LTX0005-Tumour1,9_139035900_139037090,clone1,1,1
LTX0005-Tumour1,1_93296900_93298090,clone2,1,1
LTX0005-Tumour1,10_99002900_120791090,clone2,1,1
LTX0005-Tumour1,11_14527900_75112090,clone2,1,1
LTX0005-Tumour1,12_25397900_25399090,clone2,1,1
LTX0005-Tumour1,17_7388900_7578090,clone2,1,1
LTX0005-Tumour1,18_19194900_19196090,clone2,1,1
LTX0005-Tumour1,2_198364900_198366090,clone2,1,1
LTX0005-Tumour1,7_55085900_55087090,clone2,1,1
LTX0005-Tumour1,8_128747900_128749090,clone2,1,1
LTX0005-Tumour1,9_139035900_139037090,clone2,1,1
LTX0005-Tumour1,1_93296900_93298090,clone3,1,1
LTX0005-Tumour1,10_99002900_120791090,clone3,1,1
LTX0005-Tumour1,11_14527900_75112090,clone3,1,1
LTX0005-Tumour1,12_25397900_25399090,clone3,1,1
LTX0005-Tumour1,17_7388900_7578090,clone3,1,1
